Ax,Ay,Az,time
-1.96,9.23,-3.6,0.388318777
-1.83,9.7,-3.64,0.419596195
-1.64,9.77,-3.6,0.450818062
-1.59,9.5,-3.62,0.4820714
-1.6,9.25,-3.67,0.513343334
-0.91,9.39,-3.9,0.544580221
-0.1,9.04,-3.39,0.575895309
1.19,8.6,-2.9,0.607091188
1.06,7.69,-2.04,0.638354301
1.03,7.19,-2.15,0.669639587
1.59,6.48,-2.08,0.700881004
2.29,5.63,-1.06,0.732134342
2.18,4.4,-1.8,0.763392448
2.2,5.36,-2.17,0.794640541
1.65,5.26,-3.55,0.825899363
0.94,5.96,-3.97,0.857112408
0.86,7.48,-4.13,0.888366222
0.9,7.53,-2.74,0.919622421
0.76,7.82,-2.67,0.966500759
1.14,10.2,-3.01,0.997781992
1.42,11.74,-2.29,1.041053057
2.08,9.17,-0.24,1.072433949
2.12,8.54,2.55,1.08793211
3.79,12.71,-0.9,1.119186163
4.77,10.87,-1.78,1.150439262
3.35,10.07,0.2,1.181694269
3.11,10.71,-1.12,1.1973207
2.7,12.5,-1.56,1.2286098
3.73,12.35,1.03,1.259863615
3.02,12,1.4,1.291078568
3.36,13.07,-0.59,1.322373152
3.35,12.83,2.52,1.35358572
3.04,12.29,2.14,1.400466442
1.93,9.94,0.26,1.447344303
1.8,9.95,2.15,1.494225502
2.95,10.42,2.34,1.525479078
1.94,8.97,1.3,1.556732416
-0.43,8.25,-1.5,1.587984324
0.02,11.88,0.49,1.619239569
-0.36,5.89,-0.71,1.634866953
2.55,13.02,4.16,1.666119576
4.13,11.02,-1.87,1.69737196
-1.01,8.51,-3.17,1.728660822
4.47,13.94,2.91,1.744287252
1.38,11.1,0.13,1.775505781
1.35,13.38,-1.14,1.806793451
2.65,13.74,0.51,1.82243371
1.08,11.58,-5.8,1.853640079
4.31,11.69,0.28,1.884892225
-0.99,9.11,-1.51,1.916145325
-1.98,9.91,-1.29,1.947437286
0.95,10.04,-2.08,1.963062286
-0.43,10.41,-2.34,1.994316339
-1.41,9.91,-3.68,2.036248922
0.19,9.47,-0.74,2.067504406
-1.26,9.9,-3.43,2.098757505
1.61,8.61,-5.66,2.130048275
-2.15,10.36,-1.84,2.161264181
2.17,10.61,-4.67,2.192553997
0.84,7.74,-6.76,2.255065441
-3.97,10.56,-2.27,2.286313295
-4.93,11.31,1.37,2.317532778
1.48,8.21,-6.78,2.333194256
-2.4,7.57,-6.56,2.364410877
-5.19,9.52,-2.96,2.395664454
-3.17,9.38,1.59,2.426951885
-4.41,7.91,-6.43,2.458171368
-7.06,6.74,-0.47,2.473796606
-8.88,6.21,-4.46,2.505079508
-5.39,3.98,-7.63,2.536304235
-6.7,5.97,-3.34,2.567559719
-8.01,6.01,-3.47,2.598812103
-5.25,3,-7.45,2.630063772
-4.71,1.01,-6.04,2.661351919
-10.99,5.62,-4.43,2.708234072
-8.06,4.84,-4.91,2.739485741
-7.82,4.84,-2.06,2.755117893
-8.58,4.49,-0.28,2.786364794
-7.95,4.28,-0.86,2.817584038
-7.79,2.74,-0.17,2.895718098
-9.58,2.42,-0.98,2.926971436
-10.2,3.17,0.1,2.964052677
-11.46,4.18,3.45,2.978419304
-10.97,1.8,2.74,3.020527601
-9.73,-0.6,3.03,3.039271832
-9.8,-2.39,0.51,3.070524931
-10.24,-2.58,2.24,3.101824045
-7.46,0.1,3.22,3.117404938
-5.28,0.42,1.19,3.148694992
-9.06,-0.15,2.53,3.179951191
-8.77,1.34,6.51,3.211201191
-10.83,2.62,9.04,3.226795197
-12.13,1.83,4.78,3.258081913
-12.06,3.48,0.78,3.289299011
-7.94,3.18,5.17,3.320590734
-6.28,2.17,5.87,3.351804256
-6.24,0.55,5,3.383057594
-2.02,9.25,-3.78,0.24986577
-2.12,9.28,-3.81,0.280925274
-2.04,9.39,-3.84,0.32771039
-2.06,9.45,-3.86,0.343655348
-2.06,9.32,-3.86,0.421469927
-2.08,9.16,-3.82,0.437093973
-2.03,9.22,-3.72,0.483974457
-1.95,9.28,-3.73,0.515226841
-1.97,9.22,-3.73,0.546479702
-1.86,9.4,-3.81,0.562127352
-1.88,9.2,-3.83,0.593360186
-1.73,9.06,-3.9,0.624614
-1.47,9.06,-3.84,0.655869007
-1.14,8.73,-3.85,0.687155962
-1.04,8.48,-3.81,0.718434811
-0.74,8.61,-3.57,0.74962616
-0.35,8.68,-3.62,0.792052984
-0.22,8.61,-3.72,0.807680607
-0.23,8.43,-3.91,0.838933468
0.39,8.21,-3.6,0.870187998
0.3,7.84,-3.14,0.917066813
0.17,7.27,-3.18,0.948319197
0.67,6.82,-2.86,0.963947058
0.97,6.38,-2.08,0.995199442
0.85,6.65,-1.98,1.026453257
0.65,7.3,-2.46,1.057706356
0.17,7.98,-2.45,1.088960171
1.14,7.8,-2.82,1.12024951
0.4,8.11,-2.91,1.151566267
0.42,8.85,-2.25,1.182719469
2.04,7.89,-1.92,1.213973045
1.28,7.69,-0.59,1.245225906
1.83,8.94,-0.73,1.276479721
2.87,9.57,-0.85,1.307769299
2.55,8.79,0.94,1.33902216
3.29,10.71,-1.3,1.370276451
3.02,10.86,-1.33,1.401550531
-0.16,7.94,-1.73,1.464002371
2.63,10.2,1.32,1.51088047
3.44,11.02,1.72,1.542131901
2.16,10.67,-0.37,1.573386192
2.44,11.98,0.98,1.604640245
3.13,12.48,2.3,1.635914564
2.65,11.91,-0.25,1.651570797
1.32,13.62,1.33,1.682772636
1.91,11.04,2.54,1.714061499
0.61,12.14,2.04,1.745279074
-2.77,9.41,-5.17,1.760941744
-0.68,8.79,-3.3,1.789075613
17.1,14.12,1.18,1.820329189
0.12,8.8,-8.05,1.851623535
-1.49,16.27,2.51,1.882837057
-1.73,16.03,5.31,1.898462534
-2.09,11.95,-2.47,1.929716349
2.23,13.85,-4.63,1.960968971
1.51,9.13,1.89,1.992222786
-1.76,11.15,-2.52,2.023476601
0.66,10.38,-1.14,2.054770708
-0.97,10,-0.87,2.086028337
-0.99,10.08,-1.1,2.117236853
1.32,10.31,-2.65,2.164118052
-3.04,10.16,-1.1,2.179742813
-1.51,10.53,-2.9,2.210995913
1.31,9.91,-3.11,2.242248774
-0.26,9.15,-2.51,2.273502111
-3.8,10.09,-1.44,2.304755449
2.65,10.18,-5.54,2.336009979
1.42,10.23,-5,2.367263317
-4.15,9.05,-3.36,2.414141417
-1.39,9.27,-4.25,2.445395231
1.19,10.67,-4.85,2.476648808
-2.4,9.59,-5.93,2.507901907
-5.56,8.36,-3.76,2.539191723
-4.52,9.55,-2.63,2.570408583
-1.95,9.85,-4.43,2.601661682
-3.66,8.07,-3.23,2.632950783
-7.24,7.65,-3.78,2.664168358
-4.56,9.26,-4.17,2.695461035
-4.1,8.31,-4.39,2.726676226
-4.98,7.99,-2.23,2.757964611
-5.17,7.73,-6.3,2.80031538
-6.11,8.05,-5.5,2.815942049
-5.89,6.75,-4.24,2.84719491
-6.69,6.43,-4.25,2.878447771
-7.83,5.38,-1.86,2.909701109
-6.67,4.93,-4.89,2.940958261
-7,5.83,-4.4,2.972221375
-7.98,4.7,-1.84,3.003461599
-8.59,4.62,-1.91,3.081594467
-7.73,4.65,-0.33,3.112847567
-8.35,5.36,4.36,3.128523111
-9.05,4.24,-0.43,3.15972805
-9.88,2.95,-5.1,3.19098115
-7.34,3.1,0.04,3.222270489
-8.09,1.42,5.12,3.253489494
-9.91,2.13,4.75,3.269161701
-10.06,0.5,-2.34,3.300409794
-8.62,0.98,-2.41,3.331621408
-6.65,1.01,3.25,3.362874031
-9.78,-0.76,8.3,3.378500938
-1.89,9.52,-3.84,0.340114355
-1.76,9.34,-3.77,0.371182442
-1.81,9.11,-3.83,0.402435541
-1.75,9.31,-4.04,0.44934845
-1.47,9.25,-3.96,0.480566978
-1.29,9.03,-3.9,0.511820078
-1,8.91,-3.72,0.543115377
-0.69,8.85,-3.35,0.574323893
-0.57,8.81,-3.52,0.621246099
-0.32,8.4,-3.74,0.652467251
-0.17,8.26,-3.55,0.683748245
0.41,8.27,-3.31,0.715001106
1.17,7.93,-3.48,0.746256113
1.05,6.87,-2.37,0.777473211
1.06,5.97,-2.26,0.793100357
0.62,5.95,-2.65,0.824351072
0.13,6.89,-3.78,0.855606079
-0.11,9.04,-3.09,0.886857271
0.69,8.49,-2.75,0.918148756
1.09,7.65,-2.31,0.949368715
0.7,7.8,-2,0.996248722
0.66,8.3,-3.51,1.027534485
0.65,8.68,-3.73,1.058751822
0.97,8.2,-2.24,1.090006351
