Ax,Ay,Az,time
-5.48,2.41,8.51,3.554307579
-5.78,2.62,7.1,3.58961527
-5.68,2.67,7.73,3.624922961
-5.3,2.64,8.25,3.660230652
-5.3,2.68,8.15,3.695538343
-5.56,2.67,7.61,3.730846035
-5.4,2.7,7.98,3.766153726
-5.31,2.74,8.01,3.801461417
-5.52,2.74,7.74,3.836769108
-5.29,2.74,8.14,3.872076799
-5.23,2.7,8,3.90738449
-3.25,8.81,-2.91,0.402240104
-3.26,8.95,-2.95,0.437731878
-3.2,9.23,-2.82,0.473223652
-3.15,9.44,-2.71,0.508715426
-3.11,9.34,-2.58,0.5442072
-2.9,9.21,-2.65,0.579698974
-3,8.9,-2.45,0.615190748
-2.67,8.75,-2.37,0.650682522
-2.68,8.16,-2.53,0.686174295
-2.67,7.55,-2.24,0.721666069
-2.47,6.84,-1.8,0.757157843
-2.54,6.14,-1.27,0.792649617
-2.33,5.43,-0.69,0.828141391
-2.05,5.04,-1.26,0.863633165
-2.56,5.66,-0.89,0.899124939
-2.55,5.25,-0.86,0.934616713
-2.19,5.85,-0.78,0.970108487
-3.05,7.67,-0.5,1.005600261
-3.04,8.33,-1.43,1.041092035
-3.44,9.05,-1.51,1.076583808
-3.9,10.63,-2.55,1.112075582
-3.49,11.52,-2.87,1.147567356
-2.85,10.53,-0.67,1.18305913
-2.67,10.16,-1.59,1.218550904
-2.23,11.73,-0.02,1.254042678
-2.46,12.63,0.52,1.289534452
-2.69,11.79,0.69,1.325026226
-2.2,12.23,0.24,1.360518
-2.71,11.81,1.64,1.396009774
-2.29,11.84,2.09,1.431501547
-2.01,12.56,3.13,1.466993321
-1.27,12.07,0.78,1.502485095
-1.81,11.67,3.7,1.537976869
-1.17,11.15,1.94,1.573468643
0.88,10.35,-2.88,1.608960417
1.46,10.14,-2.71,1.644452191
0.32,13.78,2.99,1.679943965
0.36,10.78,6.7,1.715435739
-2.39,9.23,4.9,1.750927513
-0.75,10.24,2.99,1.786419287
-1.13,11.98,4.45,1.82191106
-2.28,10.55,4.25,1.857402834
-1.78,8.69,4.49,1.892894608
-2.83,10.16,5.33,1.928386382
-1.97,9.08,4.05,1.963878156
-3.27,9.11,5.18,1.99936993
-1.57,9.48,3.73,2.034861704
-2.79,9.17,3.27,2.070353478
-2.61,8.82,2.52,2.105845252
-2.57,8.03,2.07,2.141337026
-3.6,8.83,4.05,2.176828799
-2.89,8.51,4.34,2.212320573
-3.2,9.17,4.88,2.247812347
-5.15,8.72,2.73,2.283304121
-4.13,9.38,2.7,2.318795895
-2.75,8.04,2.46,2.354287669
-4.54,8.79,4.18,2.389779443
-4.15,8.58,3.86,2.425271217
-3.18,8.34,3.88,2.460762991
-5.39,8.52,3.9,2.496254765
-2.24,6.18,-1.08,2.531746539
-4.7,8.49,3.02,2.567238312
-3.65,7.81,2.55,2.602730086
-4.91,8.29,6.23,2.63822186
-3.33,7.01,4.35,2.673713634
-4.13,7.82,3.55,2.709205408
-4.09,8.21,4.46,2.744697182
-4.31,8.71,5.81,2.780188956
-4.24,8.78,5.91,2.81568073
-5.3,6.01,2.45,2.851172504
-3.32,5.46,3.55,2.886664278
-6.51,7.23,3.87,2.922156051
-5.43,6.61,3.53,2.957647825
-2.63,9.32,9.86,2.993139599
-6.71,6.66,3.79,3.028631373
-3.99,6.49,7.49,3.064123147
-4.39,5.7,7.11,3.099614921
-3.11,5.95,6.83,3.135106695
-4.47,1.94,12.26,3.170598469
-0.28,4.52,10.64,3.206090243
-2.12,3.84,8.02,3.241582017
-3.69,2.85,5.99,3.277073791
-4.57,3.33,8.64,3.312565564
-4.37,2.41,5.36,3.348057338
-2.31,3.76,6.43,3.383549112
-6.69,1.89,8.33,3.419040886
-5.74,4.72,7,3.45453266
-4.48,3.43,6.96,3.490024434
-5.78,4.84,7.96,3.525516208
-6.25,5.09,6.14,3.561007982
-6.61,2.18,4.64,3.596499756
-6.98,2.25,7.41,3.63199153
-5.96,1.98,8.2,3.667483304
-5.23,2.25,9.03,3.702975077
-5.92,2.36,7.7,3.738466851
-6.21,2.48,6.9,3.773958625
-6.01,2.4,7.46,3.809450399
-5.77,2.39,8.14,3.844942173
-5.95,2.57,7.53,3.880433947
-5.9,2.33,7.52,3.915925721
-3.43,8.84,-2.7,0.418172463
-3.34,8.84,-2.55,0.454015817
-3.28,8.92,-2.42,0.489859171
-3.2,9.18,-2.61,0.525702525
-3.13,9.16,-2.73,0.561545879
-3.12,8.92,-2.74,0.597389233
-3.03,8.49,-2.6,0.633232587
-2.77,8.22,-2.25,0.669075941
-2.77,7.68,-2.06,0.704919294
-2.59,6.88,-1.93,0.740762648
-2.33,6.27,-1.39,0.776606002
-2.69,5.75,-0.87,0.812449356
-2.49,5.28,-0.44,0.84829271
-1.94,5.12,-0.78,0.884136064
-2.7,5.96,-0.68,0.919979418
-2.45,5.27,-0.65,0.955822772
-2.2,6.09,-0.76,0.991666126
-3.3,9.66,-0.76,1.02750948
-2.79,9.51,-1.51,1.063352834
-2.65,10.1,0.48,1.099196188
-2.89,12.23,-0.89,1.135039542
-3.34,10.66,-1.13,1.170882896
-3.2,12.67,-1.59,1.20672625
-3.36,13.08,-1.12,1.242569604
-2.1,13.19,-0.33,1.278412958
-2.53,13.38,-0.43,1.314256312
